"muscles_p1-ventral.Label-Analysis---ventral"
"Volume3d","Length3d","index","Materials"
0,-inf,1,""
0,-inf,2,""
0,-inf,3,""
0,-inf,4,""
0,-inf,5,""
0,-inf,6,""
0,-inf,7,""
0,-inf,8,""
0,-inf,9,""
0,-inf,10,""
0,-inf,11,""
0,-inf,12,""
0,-inf,13,""
0,-inf,14,""
0,-inf,15,""
0,-inf,16,""
0,-inf,17,""
0,-inf,18,""
0,-inf,19,""
0,-inf,20,""
0,-inf,21,""
0,-inf,22,""
0,-inf,23,""
0,-inf,24,""
0,-inf,25,""
0,-inf,26,""
0,-inf,27,""
0,-inf,28,""
0,-inf,29,""
0,-inf,30,""
0,-inf,31,""
0,-inf,32,""
0,-inf,33,""
0,-inf,34,""
0,-inf,35,""
0,-inf,36,""
0,-inf,37,""
0,-inf,38,""
0,-inf,39,""
0,-inf,40,""
0,-inf,41,""
0,-inf,42,""
0,-inf,43,""
0,-inf,44,""
0,-inf,45,""
0,-inf,46,""
0,-inf,47,""
0,-inf,48,""
0,-inf,49,""
0,-inf,50,""
0,-inf,51,""
0,-inf,52,""
0,-inf,53,""
0,-inf,54,""
0,-inf,55,""
0,-inf,56,""
0,-inf,57,""
0,-inf,58,""
0,-inf,59,""
0,-inf,60,""
0,-inf,61,""
0,-inf,62,""
0,-inf,63,""
0,-inf,64,""
0,-inf,65,""
0,-inf,66,""
0,-inf,67,""
0,-inf,68,""
0,-inf,69,""
0,-inf,70,""
0,-inf,71,""
0,-inf,72,""
0,-inf,73,""
0,-inf,74,""
0,-inf,75,""
0,-inf,76,""
0,-inf,77,""
0,-inf,78,""
0,-inf,79,""
0,-inf,80,""
0,-inf,81,""
0,-inf,82,""
0,-inf,83,""
0,-inf,84,""
0,-inf,85,""
0,-inf,86,""
0,-inf,87,""
0,-inf,88,""
0,-inf,89,""
0,-inf,90,""
0,-inf,91,""
0,-inf,92,""
0,-inf,93,""
0,-inf,94,""
0,-inf,95,""
0,-inf,96,""
0,-inf,97,""
